,obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,class,redshift,plate,MJD,fiber_ID
7133,1.2376591316813092e+18,241.369676320764,37.70639707128,21.17539,20.28703,20.08249,20.07811,20.05476,3180,301,2,226,1.2089043899336909e+19,QSO,2.415594,10737,58254,933
14023,1.237662501080466e+18,241.503490185021,36.8941367593535,25.35544,23.10856,21.02197,19.9589,19.15138,3964,301,6,185,1.2088803656046236e+19,GALAXY,0.7660994,10737,58254,59
11035,1.2376591542176315e+18,246.056717109009,35.2029297035868,22.4575,21.56331,21.12707,21.0063,21.27385,3185,301,4,39,1.2283722878395111e+19,STAR,-0.0002397524,10910,58254,563
23448,1.2376625010825636e+18,245.885958820377,33.7208066820262,25.10954,23.73682,21.65204,20.37923,19.60334,3964,301,6,217,1.2283690992557904e+19,GALAXY,0.7667224,10910,58254,447
46923,1.2376624747681546e+18,244.450673725837,31.8960473480356,22.58498,20.52719,19.74892,19.22544,18.97752,3958,301,5,99,1.2292783953719611e+19,STAR,-0.0001505509,10918,58254,759
44875,1.2376623035178693e+18,240.342156939212,38.1084613673021,23.92369,22.75975,21.24666,20.23751,19.58956,3918,301,6,275,1.2089002667650863e+19,GALAXY,0.5095932,10737,58254,783
24108,1.237662500543398e+18,240.782366690337,36.9635688923001,21.40153,21.23567,21.14872,20.93789,21.53821,3964,301,5,182,1.2088838015784604e+19,QSO,1.510298,10737,58254,184
48747,1.2376623019072558e+18,239.298850172767,37.2077545075107,20.74468,20.73984,20.94608,20.76527,20.73744,3918,301,3,275,1.2088907834773e+19,QSO,1.636749,10737,58254,438
67722,1.2376623378673833e+18,244.085003119688,30.5363046629339,21.92196,21.85074,21.62899,21.34647,20.99343,3926,301,6,119,1.2292668779876604e+19,GALAXY,0.9044825,10918,58254,340
31967,1.237662501079811e+18,240.20406855077,37.8557278383096,27.06972,24.22296,22.11438,20.84341,19.73551,3964,301,6,175,1.2088990573023e+19,GALAXY,0.8425481,10737,58254,739
88568,1.237659161204032e+18,246.429560566351,35.2551084899877,22.23868,22.28528,22.06097,21.83694,21.19479,3187,301,1,147,1.2283733598633482e+19,QSO,1.312153,10910,58254,602
6365,1.2376591316807852e+18,240.335996684921,38.4876927479296,24.90264,22.88529,21.6386,20.46199,19.60387,3180,301,2,218,1.208899497106947e+19,STAR,0.0001754687,10737,58254,755
23695,1.237662337330447e+18,243.680658442186,30.3148394024527,25.19297,23.39074,22.49185,20.81019,20.11399,3926,301,5,118,1.229267812572544e+19,STAR,-0.0001315854,10918,58254,374
51338,1.2376625005427428e+18,239.347089943613,37.7830953339213,22.01562,21.04128,20.62873,20.56091,20.30662,3964,301,5,172,1.2088960611331105e+19,STAR,-0.0002018596,10737,58254,630
53135,1.2376623378676457e+18,244.640681107156,30.2089420747418,21.46035,21.25195,21.27618,20.8882,21.52303,3926,301,6,123,1.2292643491109163e+19,QSO,1.853504,10918,58254,248
62950,1.2376623378671212e+18,243.65578603025,30.9181244471032,21.84339,21.53763,21.23118,21.20894,21.40463,3926,301,6,115,1.2292683348405672e+19,QSO,1.207965,10918,58254,393
68083,1.2376613860079048e+18,247.89806754957,34.083755955766,21.67175,21.87536,21.64718,21.47318,22.05473,3705,301,1,312,1.2283605505528846e+19,GALAXY,0.0,10910,58254,136
6158,1.2376625010800074e+18,240.51813824428,37.5648110381108,25.55946,23.54896,21.57393,20.45944,19.70429,3964,301,6,178,1.208901751105784e+19,GALAXY,0.7069361,10737,58254,837
52252,1.2376623378675144e+18,244.450361689534,30.2649805142756,25.92591,22.62695,20.79285,18.36759,17.03275,3926,301,6,121,1.2292655860615e+19,STAR,-0.0002849744,10918,58254,293
74203,1.2376613865440548e+18,246.943179441568,35.5770459359551,21.9187,21.49017,20.78035,20.47463,20.39842,3705,301,2,301,1.2283763835203246e+19,QSO,1.142584,10910,58254,712
18278,1.2376625010800727e+18,240.729741435234,37.5279550385612,21.76563,22.11004,21.01915,19.96686,19.07414,3964,301,6,179,1.2089018060813654e+19,GALAXY,0.6645769,10737,58254,839
14725,1.237659154218353e+18,247.531782999161,33.932633318435,21.05894,20.9887,20.89346,20.62074,20.84436,3185,301,4,50,1.2283626396249774e+19,QSO,1.46664,10910,58254,212
51885,1.237662337867318e+18,243.983692933231,30.6293702056026,22.45554,22.0713,21.82912,21.59042,21.472,3926,301,6,118,1.2292669329632416e+19,GALAXY,1.032802,10918,58254,342
46886,1.2376624747688755e+18,245.830524198579,30.8929389385355,22.29314,21.45509,20.34359,18.76934,19.72651,3958,301,5,110,1.229258466723708e+19,STAR,-0.0004914257,10918,58254,34
51335,1.2376625037600369e+18,245.601312252598,30.2536100114024,22.62864,23.55608,21.6628,20.61782,19.67417,3965,301,3,112,1.2292601434789405e+19,GALAXY,0.8761094,10918,58254,95
6604,1.2376625010802043e+18,241.014745639363,37.2885582498309,26.06321,24.11696,21.56903,20.28261,19.5731,3964,301,6,181,1.2088828944813677e+19,GALAXY,0.7186683,10737,58254,151
64396,1.2376613860078392e+18,247.868807741797,34.1734811964121,22.38447,21.93717,21.57959,21.90292,21.68629,3705,301,1,311,1.228359615968e+19,QSO,2.456926,10910,58254,102
76307,1.2376613865447757e+18,248.325717806163,34.4524142753014,22.37974,21.48384,20.92104,20.64313,20.66922,3705,301,2,312,1.228357636847071e+19,GALAXY,0.2859456,10910,58254,30
35931,1.237659161203836e+18,246.040067446567,35.5280278221826,24.68798,22.96883,21.77871,20.70938,19.94343,3187,301,1,144,1.2283730025220692e+19,GALAXY,0.6178933,10910,58254,589
8160,1.2376591316805883e+18,239.769928805868,38.6520592893395,21.48432,21.55446,21.24798,21.17558,21.1333,3180,301,2,215,1.2088965009377612e+19,QSO,1.322343,10737,58254,646
61334,1.2376613865439892e+18,246.85987945823,35.7078646626619,21.4428,21.16476,21.23126,20.9872,21.08065,3705,301,2,300,1.2283763010569523e+19,QSO,1.696988,10910,58254,709
8646,1.2376625010798108e+18,240.265063683872,37.934400569915,25.79586,24.16446,21.76365,20.6563,19.90825,3964,301,6,175,1.2089003767162493e+19,GALAXY,0.5668684,10737,58254,787
11036,1.2376591542178286e+18,246.31520597439,34.7583983094131,24.58548,23.61503,21.82922,20.26615,19.36537,3185,301,4,42,1.22837382715579e+19,STAR,-0.0003167905,10910,58254,619
39081,1.2376623378676462e+18,244.651842289306,30.1333015680797,23.07389,22.99437,21.5452,20.47723,19.80956,3926,301,6,123,1.2292642666475444e+19,GALAXY,0.7137805,10918,58254,245
85189,1.237662302444323e+18,240.055096131548,37.2487992597226,20.95662,20.96337,21.2813,20.80601,20.70339,3918,301,4,278,1.208887182576716e+19,QSO,1.796309,10737,58254,307
61448,1.2376613865448412e+18,248.527101865378,34.2945577516699,22.02706,21.92009,21.73676,21.38685,21.71869,3705,301,2,313,1.2283574719203269e+19,QSO,1.509155,10910,58254,24
7879,1.2376591316813747e+18,241.462339847108,37.6079364984758,22.06268,21.7912,21.44067,21.36164,21.36648,3180,301,2,227,1.2089054619575276e+19,GALAXY,0.200612,10737,58254,972
85588,1.237661387081188e+18,247.816626397787,35.4574014607189,22.82056,21.97588,21.33693,21.6756,20.73185,3705,301,3,305,1.228380891518e+19,GALAXY,0.3823254,10910,58254,876
39274,1.237659161203836e+18,246.051369735324,35.651116799688,25.54974,24.12205,22.30296,21.06074,19.9412,3187,301,1,144,1.2283717380837e+19,GALAXY,0.9552603,10910,58254,543
